projectid,project_name,project_description,entity_name,entity_current_nt_allocation,latitude,longitude,bay_segment,project_type,project_status,initiation_year,estimated_completion_year,discontinued_year,completion_year,project_costs,estimated_load_reduction
8,Delany Creek Wetland Restoration Project,"Delaney Creek receives runoff from a watershed of approximately 16 square miles that  flows directly into Upper 
Hillsborough Bay. Reduction rate supplied by partner.",Hillsborough County, 250-500 K,27.9236248332,-82.385794579,Hillsborough Bay,Non-Point Source,Completed,1996.0,1997.0,0.0,1997.0,,
10,Cone Ranch Restoration Project,The project will attempt to restore hydroperiod to 400 acres of ditched and drained wetlands.  Five ponds were created in the project area. 2003 update: Seven ponds (not five as previously described).,Hillsborough County, 100-500 K,28.1218130923,-82.1225121652,Hillsborough Bay,Non-Point Source,Completed,1999.0,1999.0,0.0,1999.0,,
19,East Lake (Alum) Stormwater Retrofit Project,The objective of the project is the implementation of an alum injection stormwater treatment system to treat stormwater runoff entering East Lake.  Reduction efficiency supplied by SWFWMD.  May come on line in 2006.,SWFWMD,500K-1M,27.988065,-82.373728,Hillsborough Bay,Non-Point Source,Completed,1998.0,2000.0,0.0,2000.0,,
20,Lowry Park West Stormwater Retrofit Project,Construction of a 2 acre stormwater treatment pond to provide limited treatment of runoff from a 100 acre basin.  Year 2000 Update: Project complete.  Monitoring is ongoing.,City of Tampa, 250-500 K,28.013639,-82.467792,Hillsborough Bay,Non-Point Source,Completed,1997.0,1998.0,0.0,1998.0,,
21,Lake Thonotosassa Marsh Restoration Project,Project was designed to address three major problems in the lake; reduce the concentration of phosphorous and nitrogen; reduce the sediment load to the lake by including a sedimentation basin.,SWFWMD,   1M-3M,28.0512845912,-82.2668817392,Hillsborough Bay,Non-Point Source,Completed,1997.0,1999.0,0.0,1999.0,,
22,Florida Yards And Neighborhood Program,Public awareness programs raise water conservation awareness and implement pollution reduction initiatives. 2003 update: added to desc file.,Hillsborough County,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Ongoing,0.0,0.0,0.0,0.0,,
23,Pollution Prevention Programs,"Supplements include Adopt-A-Pond, 
stormdrain stenciling, and public awareness 
programs.  Reduction supplied by Hills. Co. 
4687 drains marked through 2016",Hillsborough County,Not Listed,28.019236,-82.21548,Hillsborough Bay,Non-Point Source,Completed,0.0,0.0,0.0,0.0,,
26,Pistol Range Stormwater Retrofit Project,Diversion of flow from approximately 620 acres through a reconfigured borrow pit system to provide treatment prior to discharge back into Pemberton Creek. Area treated=620 acres; treatment area=needed,SWFWMD,500K-1M,28.039363,-82.13978,Hillsborough Bay,Non-Point Source,Completed,1998.0,2000.0,0.0,2000.0,,
27,Alafia River Corridor Land Acquisition,"Alafia River Cooridor Land Acquisition.  Year 2000 Update: None, the acquisition is complete.",SWFWMD,Not Listed,27.826852,-82.132505,Hillsborough Bay,Non-Point Source,Completed,0.0,1995.0,0.0,1995.0,,
28,Eastern Associated Terminals Stormwater Improvements,"Enclose outside conveyor belts, construct 
berm and swale. Efficiency rating (Partnership 
for Progress page HB.12). Area 
treated=needed",Eastern Terminals, 100-500 K,27.918834,-82.41985,Hillsborough Bay,Non-Point Source,Completed,0.0,1996.0,0.0,1996.0,,
30,Cargill Fertilizer Stormwater Ponds,Construct and upgrade stormwater ponds feeding NPDES outfalls 021 and 022 to improve recirculation and nutrient uptake by appropriate species.  Reduction is from onsite stormwater runoff prior to discharge. Area treated=5.5 acres; treatment area=needed.,Mosaic, 100-500 K,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,1991.0,1998.0,0.0,1998.0,,
31,Cargill Fertilizer Dedicated Sump By Production Lab,Laboratory sump to return rinsate to the process. Partnership for Progress Page - HB14. Area treated=needed; reduction efficiency supplied by Cargill.,Mosaic,   < 5 K,27.863575,-82.385047,Hillsborough Bay,Non-Point Source,Completed,1996.0,1996.0,0.0,1996.0,,
